id,project_name,repo_name,language,version_tag,repo_url,version_start_date,version_end_date,i1_robustness,i2_scalability,i3_usability,i4_effectiveness,i5_corrections,i6_improvements,i7_security,i8_testing_process,i9_coverage,i10_license_type,i11_dual_licensing,i12_commercial_resources,i13_commercial_training,i14_industry_adoption,i15_ngo_support,i16_corporate_support,i17_donations,i18_installability,i19_configurability,i20_self_contained,i21_resource_utilization,i22_complexity,i23_modularity,i24_instability,i25_cohesion,i26_governance_model,i27_project_road_map,i28_code_of_conduct,i29_coding_standards,i30_documentation_standards,i31_devs_attracted,i32_devs_active,i33_nof_open_issues,i34_open_vs_closed_issues,i35_documendation,i36_localization_process,i37_issue_tracking,i38_user_guide,g1_architecture,g2_maintenability,g3_security_testing,g4_license,g5_market,g6_support,g7_initialization,g8_dependencies,g9_reuse,g10_dev_process_governance,g11_developer_base,g12_user_base,d1_source_code,d2_business_legal,d3_integration_reuse,d4_social,analysis_complete,auto_expert_value
24,WP Gutenberg,WordPress/gutenberg,PHP,2.4,https://github.com/WordPress/gutenberg,2018-03-14,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,WP Gutenberg,WordPress/gutenberg,PHP,2.5,https://github.com/WordPress/gutenberg,2018-03-28,2018-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,WP Gutenberg,WordPress/gutenberg,PHP,2.6,https://github.com/WordPress/gutenberg,2018-04-05,2018-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,WP Gutenberg,WordPress/gutenberg,PHP,2.7,https://github.com/WordPress/gutenberg,2018-04-18,2018-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,WP Gutenberg,WordPress/gutenberg,PHP,2.8,https://github.com/WordPress/gutenberg,2018-05-03,2018-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,WP Gutenberg,WordPress/gutenberg,PHP,2.9,https://github.com/WordPress/gutenberg,2018-05-18,2018-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,WP Gutenberg,WordPress/gutenberg,PHP,3,https://github.com/WordPress/gutenberg,2018-06-04,2018-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,WP Gutenberg,WordPress/gutenberg,PHP,3.1,https://github.com/WordPress/gutenberg,2018-06-21,2018-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,WP Gutenberg,WordPress/gutenberg,PHP,3.2,https://github.com/WordPress/gutenberg,2018-07-06,2018-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,WP Gutenberg,WordPress/gutenberg,PHP,3.3,https://github.com/WordPress/gutenberg,2018-07-20,2018-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,WP Gutenberg,WordPress/gutenberg,PHP,3.4,https://github.com/WordPress/gutenberg,2018-07-31,2018-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,WP Gutenberg,WordPress/gutenberg,PHP,3.5,https://github.com/WordPress/gutenberg,2018-08-15,2018-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,WP Gutenberg,WordPress/gutenberg,PHP,3.6,https://github.com/WordPress/gutenberg,2018-08-17,2018-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,WP Gutenberg,WordPress/gutenberg,PHP,3.7,https://github.com/WordPress/gutenberg,2018-08-31,2018-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,WP Gutenberg,WordPress/gutenberg,PHP,3.8,https://github.com/WordPress/gutenberg,2018-09-12,2018-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,WP Gutenberg,WordPress/gutenberg,PHP,3.9,https://github.com/WordPress/gutenberg,2018-09-21,2018-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,WP Gutenberg,WordPress/gutenberg,PHP,4,https://github.com/WordPress/gutenberg,2018-10-17,2018-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,WP Gutenberg,WordPress/gutenberg,PHP,4.1,https://github.com/WordPress/gutenberg,2018-10-24,2018-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,WP Gutenberg,WordPress/gutenberg,PHP,4.2,https://github.com/WordPress/gutenberg,2018-11-06,2018-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,WP Gutenberg,WordPress/gutenberg,PHP,4.3,https://github.com/WordPress/gutenberg,2018-11-12,2018-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,WP Gutenberg,WordPress/gutenberg,PHP,4.4,https://github.com/WordPress/gutenberg,2018-11-15,2018-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,WP Gutenberg,WordPress/gutenberg,PHP,4.5,https://github.com/WordPress/gutenberg,2018-11-20,2018-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,WP Gutenberg,WordPress/gutenberg,PHP,4.6,https://github.com/WordPress/gutenberg,2018-11-30,2018-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,WP Gutenberg,WordPress/gutenberg,PHP,4.7,https://github.com/WordPress/gutenberg,2018-12-12,2018-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,WP Gutenberg,WordPress/gutenberg,PHP,4.8,https://github.com/WordPress/gutenberg,2018-12-28,2019-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,WP Gutenberg,WordPress/gutenberg,PHP,4.9,https://github.com/WordPress/gutenberg,2019-01-23,2019-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,WP Gutenberg,WordPress/gutenberg,PHP,5,https://github.com/WordPress/gutenberg,2019-02-06,2019-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,WP Gutenberg,WordPress/gutenberg,PHP,5.1,https://github.com/WordPress/gutenberg,2019-02-20,2019-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,WP Gutenberg,WordPress/gutenberg,PHP,5.2,https://github.com/WordPress/gutenberg,2019-03-06,2019-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,WP Gutenberg,WordPress/gutenberg,PHP,5.3,https://github.com/WordPress/gutenberg,2019-03-20,2019-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
